이름,위도,경도,좌표정보(X),좌표정보(Y),속성
삼청공원,37.587939,126.983947,,,지진옥외대피소
덕성여자고등학교 운동장,37.577962,126.982676,,,지진옥외대피소
덕성여자중학교 운동장,37.577837,126.982122,,,지진옥외대피소
재동초등학교 운동장,37.579586,126.985515,,,지진옥외대피소
중앙고등학교 운동장,37.58545,126.986904,,,지진옥외대피소
대동세무고등학교 운동장,37.58115,126.987856,,,지진옥외대피소
원서공원,37.578256,126.988578,,,지진옥외대피소
연지공원,37.575721,127.000772,,,지진옥외대피소
한남동공영주차장,37.534831,127.000242,,,지진옥외대피소
한강중학교 운동장,37.524248,126.991611,,,지진옥외대피소
서빙고초등학교 운동장,37.521266,126.991524,,,지진옥외대피소
달맞이공원,37.527975,126.998022,,,지진옥외대피소
무학봉근린공원,37.562397,127.026565,,,지진옥외대피소
무학초등학교 운동장,37.562729,127.029957,,,지진옥외대피소
숭신초등학교 운동장,37.567456,127.027599,,,지진옥외대피소
도선고등학교 운동장,37.566323,127.027009,,,지진옥외대피소
꽃재어린이공원,37.567475,127.028335,,,지진옥외대피소
도선어린이공원,37.5655,127.0315,,,지진옥외대피소
성심여자중고등학교 운동장,37.533871,126.954562,,,지진옥외대피소
백범김구기념관,37.543816,126.959625,,,지진옥외대피소
효창운동장,37.543558,126.961142,,,지진옥외대피소
금양초등학교 운동장,37.540353,126.961213,,,지진옥외대피소
솔밭어린이공원(용산열린정원),37.537415,126.973597,,,지진옥외대피소
용산초등학교 운동장,37.535331,126.972366,,,지진옥외대피소
용산공업고등학교 운동장,37.524044,126.967621,,,지진옥외대피소
기와터공원,37.525919,126.969341,,,지진옥외대피소
용강중학교 운동장,37.520845,126.976522,,,지진옥외대피소
중경고등학교 운동장,37.517398,126.975529,,,지진옥외대피소
이촌한우리공원,37.517624,126.981345,,,지진옥외대피소
흥인초등학교 운동장,37.560395,127.014267,,,지진옥외대피소
청구초등학교 운동장,37.558392,127.013863,,,지진옥외대피소
성동글로벌경영고등학교 운동장,37.565554,127.013105,,,지진옥외대피소
배봉산공원 야외무대,37.578494,127.063048,,,지진옥외대피소
배봉초등학교 운동장,37.57966,127.066386,,,지진옥외대피소
동국대학교 사범대학부속 여자중고등학교 운동장,37.542656,127.086805,,,지진옥외대피소
광진초등학교 운동장,37.547612,127.09082,,,지진옥외대피소
광남중학교 운동장,37.540172,127.101641,,,지진옥외대피소
광장중학교 운동장,37.546827,127.101272,,,지진옥외대피소
양진초등학교 운동장,37.544413,127.097732,,,지진옥외대피소
광남고등학교 운동장,37.541189,127.10235,,,지진옥외대피소
광장초등학교 운동장,37.548157,127.101433,,,지진옥외대피소
광진구민체육센터,37.546309,127.107116,,,지진옥외대피소
광남초등학교 운동장,37.540826,127.101022,,,지진옥외대피소
광양고등학교 운동장,37.529119,127.085535,,,지진옥외대피소
신양초등학교 운동장,37.534499,127.069324,,,지진옥외대피소
금호초등학교 운동장,37.552418,127.020274,,,지진옥외대피소
금호근린공원,37.5493,127.019195,,,지진옥외대피소
옥수초등학교 운동장,37.545934,127.022106,,,지진옥외대피소
달맞이공원,37.545078,127.020338,,,지진옥외대피소
금옥초등학교 운동장,37.546659,127.017977,,,지진옥외대피소
옥정초등학교 운동장,37.541685,127.015792,,,지진옥외대피소
매봉소공원,37.54572,127.011129,,,지진옥외대피소
옥정중학교 운동장,37.541424,127.012719,,,지진옥외대피소
동호초등학교 운동장,37.546242,127.010269,,,지진옥외대피소
경일고등학교 운동장,37.543256,127.04775,,,지진옥외대피소
경동초등학교 운동장,37.542728,127.050888,,,지진옥외대피소
태릉중학교운동장,37.612467,127.08252,,,지진옥외대피소
원묵초등학교 운동장,37.617606,127.086162,,,지진옥외대피소
수림대공원(서울장미공원),37.615139,127.073062,,,지진옥외대피소
동원초등학교운동장,37.604953,127.104845,,,지진옥외대피소
망우초등학교운동장,37.598225,127.103358,,,지진옥외대피소
면일초등학교운동장,37.591691,127.099529,,,지진옥외대피소
혜원여자고등학교운동장,37.593723,127.096603,,,지진옥외대피소
봉화중학교운동장,37.596635,127.103758,,,지진옥외대피소
휘경공업고등학교 운동장,37.584899,127.069853,,,지진옥외대피소
휘봉초등학교 운동장,37.585879,127.070309,,,지진옥외대피소
휘경초등학교 운동장,37.585499,127.058863,,,지진옥외대피소
전동중학교 운동장,37.585147,127.071164,,,지진옥외대피소
휘봉고등학교 운동장,37.586507,127.067988,,,지진옥외대피소
이문초등학교 운동장,37.601907,127.064204,,,지진옥외대피소
천호중학교 운동장,37.546312,127.139965,,,지진옥외대피소
성덕고등학교 운동장(성덕여자중학교 운동장),37.549887,127.142262,,,지진옥외대피소
청룡어린이공원,37.495872,126.999696,,,지진옥외대피소
반포중학교운동장,37.502943,126.992043,,,지진옥외대피소
반포종합운동장,37.500578,126.994297,,,지진옥외대피소
서래골근린공원,37.501469,127.003055,,,지진옥외대피소
서원초등학교운동장,37.502523,127.015144,,,지진옥외대피소
반포초등학교운동장,37.502712,126.991064,,,지진옥외대피소
원촌초등학교운동장,37.505724,127.012814,,,지진옥외대피소
남부창의어린이공원,37.484972,126.920504,,,지진옥외대피소
사당초등학교 운동장,37.474345,126.97455,,,지진옥외대피소
군인아파트 어린이공원,37.471858,126.978962,,,지진옥외대피소
예촌어린이공원,37.474637,126.976636,,,지진옥외대피소
상록어린이공원,37.472876,126.980351,,,지진옥외대피소
방일초등학교운동장,37.48526,126.9979,,,지진옥외대피소
남태령공원,37.466249,126.988621,,,지진옥외대피소
방배초등학교운동장,37.487124,126.987454,,,지진옥외대피소
서문여자중학교 운동장,37.488973,126.985081,,,지진옥외대피소
청두어린이공원,37.480618,126.985,,,지진옥외대피소
동덕여자고등학교 운동장,37.475465,126.992305,,,지진옥외대피소
남강고등학교 운동장,37.472549,126.924501,,,지진옥외대피소
호박골어린이공원,37.481988,126.923927,,,지진옥외대피소
원당초등학교 운동장,37.481,126.956109,,,지진옥외대피소
선봉어린이공원,37.48514,126.939633,,,지진옥외대피소
당곡고등학교 운동장,37.492247,126.934319,,,지진옥외대피소
중앙어린이공원,37.48435,126.94827,,,지진옥외대피소
봉림중학교 운동장,37.479318,126.938751,,,지진옥외대피소
관광고등학교 운동장,37.488415,126.943583,,,지진옥외대피소
구암중학교 운동장,37.492766,126.947565,,,지진옥외대피소
세명초등학교 운동장,37.468732,127.091313,,,지진옥외대피소
대왕초등학교 운동장,37.464278,127.105583,,,지진옥외대피소
세곡동공원,37.460398,127.103361,,,지진옥외대피소
LH보금자리 근린공원5호,37.472904,127.09767,,,지진옥외대피소
풍문고등학교 운동장,37.471643,127.100907,,,지진옥외대피소
못골공원,37.473622,127.100075,,,지진옥외대피소
LH보금자리 근린공원7호,37.470872,127.092624,,,지진옥외대피소
LH보금자리 근린공원2호,37.469412,127.090826,,,지진옥외대피소
율현초등학교 운동장,37.474498,127.108709,,,지진옥외대피소
세곡중학교 운동장,37.471622,127.092497,,,지진옥외대피소
자곡초등학교 운동장,37.472031,127.099858,,,지진옥외대피소
윗반고개공원,37.465939,127.109283,,,지진옥외대피소
도담어린이공원,37.46728,127.098627,,,지진옥외대피소
늘벗근린공원,37.489549,127.057214,,,지진옥외대피소
진선여자중학교 운동장,37.50171,127.048019,,,지진옥외대피소
구룡중학교 운동장,37.485693,127.05661,,,지진옥외대피소
개포서근린공원,37.488824,127.063797,,,지진옥외대피소
학여울근린공원(개포동근린공원),37.490349,127.068806,,,지진옥외대피소
구룡초등학교 운동장,37.480721,127.051967,,,지진옥외대피소
개일초등학교 운동장,37.485711,127.058039,,,지진옥외대피소
양전초등학교 운동장,37.490426,127.070413,,,지진옥외대피소
수도전기공업고등학교 운동장,37.486845,127.063674,,,지진옥외대피소
개원중학교 운동장,37.49129,127.071384,,,지진옥외대피소
반포고등학교운동장,37.501767,127.016788,,,지진옥외대피소
잠원초등학교운동장,37.501364,126.998186,,,지진옥외대피소
신반포중학교운동장,37.505596,126.996153,,,지진옥외대피소
방배중학교운동장,37.494591,126.99844,,,지진옥외대피소
가주초등학교 운동장,37.496693,127.128684,,,지진옥외대피소
석촌중학교 운동장,37.500628,127.121285,,,지진옥외대피소
송파중학교 운동장,37.495558,127.129768,,,지진옥외대피소
평화초등학교 운동장,37.491285,127.122171,,,지진옥외대피소
가원중학교 운동장,37.490732,127.122404,,,지진옥외대피소
문정중학교 운동장,37.488096,127.129556,,,지진옥외대피소
가락중학교 운동장,37.502116,127.118298,,,지진옥외대피소
중대초등학교 운동장,37.500513,127.114219,,,지진옥외대피소
송파초등학교 운동장,37.50705,127.110684,,,지진옥외대피소
가락고등학교 운동장,37.501096,127.117245,,,지진옥외대피소
일신여자중학교 운동장,37.501073,127.11365,,,지진옥외대피소
잠실여자고등학교 운동장,37.501812,127.113276,,,지진옥외대피소
일신여자상업고등학교운동장,37.501214,127.113965,,,지진옥외대피소
석촌초등학교 운동장,37.502562,127.104674,,,지진옥외대피소
삼전초등학교 운동장,37.501349,127.092621,,,지진옥외대피소
배명중학교 운동장,37.498334,127.095959,,,지진옥외대피소
은성중학교 운동장(은광여자고등학교운동장),37.487276,127.036332,,,지진옥외대피소
언주초등학교 운동장,37.486849,127.03751,,,지진옥외대피소
숙명여자고등학교 운동장,37.491501,127.054038,,,지진옥외대피소
대도초등학교 운동장,37.492582,127.053767,,,지진옥외대피소
대치중학교 운동장,37.484065,127.047829,,,지진옥외대피소
아시아공원,37.510285,127.077893,,,지진옥외대피소
송전초등학교 운동장,37.50837,127.094555,,,지진옥외대피소
아주중학교 운동장,37.50482,127.075963,,,지진옥외대피소
잠신고등학교 운동장,37.515101,127.089217,,,지진옥외대피소
세곡천공원,37.463208,127.101284,,,지진옥외대피소
신암중학교 운동장,37.555312,127.133247,,,지진옥외대피소
성내하니공원,37.529802,127.126703,,,지진옥외대피소
성내중학교 운동장,37.528504,127.129545,,,지진옥외대피소
성내초등학교 운동장,37.531037,127.122109,,,지진옥외대피소
성일초등학교운동장,37.529117,127.128378,,,지진옥외대피소
천호공원광장,37.544513,127.126437,,,지진옥외대피소
천일초등학교운동장,37.543974,127.132893,,,지진옥외대피소
동신중학교 운동장,37.536465,127.133986,,,지진옥외대피소
천호초등학교 운동장,37.54706,127.136207,,,지진옥외대피소
서울컨벤션고등학교 운동장,37.559391,127.157622,,,지진옥외대피소
광문고등학교 운동장,37.559939,127.157899,,,지진옥외대피소
고덕중학교 운동장,37.559889,127.161372,,,지진옥외대피소
방산중학교 운동장,37.508927,127.121651,,,지진옥외대피소
방이초등학교 운동장,37.513361,127.12099,,,지진옥외대피소
오륜초등학교 운동장,37.512054,127.134491,,,지진옥외대피소
방이중학교 운동장,37.514388,127.112952,,,지진옥외대피소
오륜중학교 운동장,37.515783,127.138674,,,지진옥외대피소
서울체육중학교운동장,37.522256,127.128717,,,지진옥외대피소
보성중학교운동장,37.519524,127.133899,,,지진옥외대피소
오금공원,37.500811,127.131637,,,지진옥외대피소
배명고등학교운동장,37.498315,127.095825,,,지진옥외대피소
개롱공원,37.493698,127.130796,,,지진옥외대피소
신가초등학교 운동장,37.499996,127.120055,,,지진옥외대피소
가동초등학교 운동장,37.497099,127.130352,,,지진옥외대피소
장월초등학교 운동장,37.622007,127.046879,,,지진옥외대피소
남대문중학교 운동장,37.618359,127.05563,,,지진옥외대피소
장곡초등학교 운동장,37.616507,127.04819,,,지진옥외대피소
월곡초등학교 운동장,37.609716,127.046002,,,지진옥외대피소
꿀벌어린이공원,37.519971,126.842039,,,지진옥외대피소
삼선중학교 운동장,37.591513,127.008527,,,지진옥외대피소
돈암초등학교 운동장,37.593153,127.01335,,,지진옥외대피소
정덕초등학교 운동장,37.598062,127.013957,,,지진옥외대피소
경동고등학교 운동장,37.585699,127.014996,,,지진옥외대피소
삼선초등학교 운동장,37.586205,127.012446,,,지진옥외대피소
안암초등학교 운동장,37.587217,127.022604,,,지진옥외대피소
창림초등학교 운동장,37.643152,127.041796,,,지진옥외대피소
밤골어린이공원,37.648808,127.045797,,,지진옥외대피소
장미어린이공원,37.638144,127.036328,,,지진옥외대피소
창2동마을공원,37.641245,127.036266,,,지진옥외대피소
물방울어린이공원,37.637571,127.041269,,,지진옥외대피소
창3동소공원,37.633336,127.041512,,,지진옥외대피소
신방학중학교 운동장,37.663869,127.029363,,,지진옥외대피소
초당초등학교 운동장,37.657984,127.02233,,,지진옥외대피소
신방학초등학교 운동장,37.665621,127.029448,,,지진옥외대피소
사슴어린이공원,37.664452,127.041713,,,지진옥외대피소
개나리어린이공원,37.667336,127.037117,,,지진옥외대피소
생잇들어린이공원,37.66897,127.039155,,,지진옥외대피소
원당샘공원,37.660882,127.02224,,,지진옥외대피소
소망어린이공원,37.663516,127.036934,,,지진옥외대피소
수송초등학교 운동장,37.636746,127.03263,,,지진옥외대피소
우이초등학교 운동장,37.638359,127.014358,,,지진옥외대피소
서울인수초등학교운동장,37.642679,127.010237,,,지진옥외대피소
강북중학교운동장,37.644769,127.025972,,,지진옥외대피소
희망어린이공원(미루나무어린이공원),37.640552,127.024448,,,지진옥외대피소
흰구름공원(수유2동근린공원),37.645717,127.020429,,,지진옥외대피소
새싹어린이공원,37.636118,127.019559,,,지진옥외대피소
혜화여자고등학교 운동장,37.630624,127.013177,,,지진옥외대피소
석계초등학교 운동장,37.6081,127.069672,,,지진옥외대피소
석관고등학교 운동장,37.608988,127.06664,,,지진옥외대피소
의릉 주차장,37.604897,127.058536,,,지진옥외대피소
장위초등학교 운동장,37.611671,127.050028,,,지진옥외대피소
불암초등학교 운동장,37.651015,127.080122,,,지진옥외대피소
중원초등학교 운동장,37.643473,127.062812,,,지진옥외대피소
용동초등학교 운동장,37.641472,127.069485,,,지진옥외대피소
상계제일중학교 운동장,37.661195,127.077338,,,지진옥외대피소
영신여자고등학교 운동장,37.652032,127.08292,,,지진옥외대피소
수암초등학교 운동장,37.64773,127.081943,,,지진옥외대피소
상명초등학교 운동장,37.648215,127.06758,,,지진옥외대피소
불암고등학교 운동장,37.648414,127.080105,,,지진옥외대피소
중계중학교 운동장,37.655097,127.075253,,,지진옥외대피소
을지중학교 운동장,37.650118,127.072116,,,지진옥외대피소
재현중학교 운동장,37.660932,127.080614,,,지진옥외대피소
서라벌고등학교운동장,37.645139,127.075267,,,지진옥외대피소
상월초등학교 운동장,37.658271,127.057241,,,지진옥외대피소
수락초등학교 운동장,37.683796,127.054544,,,지진옥외대피소
상계초등학교 운동장,37.659024,127.065914,,,지진옥외대피소
용화여자고등학교 운동장,37.658752,127.058526,,,지진옥외대피소
노일초등학교 운동장,37.67309,127.054761,,,지진옥외대피소
온곡초등학교 운동장,37.667302,127.066109,,,지진옥외대피소
온곡중학교 운동장,37.660066,127.064687,,,지진옥외대피소
수락중학교 운동장,37.68264,127.054568,,,지진옥외대피소
신창중학교 운동장,37.628227,127.047956,,,지진옥외대피소
한천초등학교 운동장,37.620108,127.069053,,,지진옥외대피소
신계초등학교 운동장,37.629876,127.053215,,,지진옥외대피소
무궁화어린이공원,37.66782,127.042163,,,지진옥외대피소
창원초등학교 운동장,37.652104,127.040713,,,지진옥외대피소
공덕소공원(법원및쉼터),37.548403,126.954563,,,지진옥외대피소
소의초등학교 운동장,37.552146,126.961153,,,지진옥외대피소
북성초등학교 운동장,37.559081,126.952067,,,지진옥외대피소
안산초등학교 운동장,37.57938,126.951601,,,지진옥외대피소
고은초등학교 운동장,37.584714,126.943621,,,지진옥외대피소
인왕초등학교 운동장,37.59044,126.945154,,,지진옥외대피소
문화소공원,37.594549,126.948815,,,지진옥외대피소
홍은초등학교 운동장,37.597229,126.949661,,,지진옥외대피소
서울여자간호대학교 운동장,37.597527,126.947336,,,지진옥외대피소
인왕중학교 운동장,37.592805,126.952575,,,지진옥외대피소
대신초등학교 운동장,37.55768,126.947459,,,지진옥외대피소
한성중고등학교 운동장,37.560388,126.954548,,,지진옥외대피소
대조초등학교 운동장,37.612637,126.919546,,,지진옥외대피소
대은초등학교 운동장,37.611693,126.926297,,,지진옥외대피소
응암초등학교 운동장,37.588283,126.921027,,,지진옥외대피소
신진과학기술고등학교 운동장,37.598419,126.918183,,,지진옥외대피소
참다래어린이공원,37.595385,126.917336,,,지진옥외대피소
은명초등학교 운동장,37.597325,126.918606,,,지진옥외대피소
응암9어린이공원,37.586891,126.922971,,,지진옥외대피소
충암초중고등학교 운동장,37.585572,126.921449,,,지진옥외대피소
응암어린이공원,37.601642,126.923583,,,지진옥외대피소
재현고등학교 운동장,37.660843,127.080702,,,지진옥외대피소
원광초등학교 운동장,37.653761,127.074867,,,지진옥외대피소
청암중고등학교 운동장,37.651115,127.074159,,,지진옥외대피소
중계초등학교 운동장,37.657419,127.073235,,,지진옥외대피소
을지초등학교 운동장,37.650605,127.072571,,,지진옥외대피소
태양어린이공원,37.524404,126.838604,,,지진옥외대피소
강신초등학교 운동장,37.542537,126.829296,,,지진옥외대피소
방아다리공원,37.538671,126.828359,,,지진옥외대피소
남명초등학교 운동장,37.514984,126.853981,,,지진옥외대피소
넓은들어린이공원,37.511165,126.839212,,,지진옥외대피소
넘은들공원,37.512995,126.840473,,,지진옥외대피소
신기초등학교 운동장,37.510962,126.854183,,,지진옥외대피소
신은초등학교 운동장,37.513427,126.83251,,,지진옥외대피소
신서고등학교 운동장,37.523779,126.85971,,,지진옥외대피소
앞산어린이공원,37.526437,126.858365,,,지진옥외대피소
양목초등학교 운동장,37.523622,126.861111,,,지진옥외대피소
금옥중학교 운동장,37.510077,126.844253,,,지진옥외대피소
신세계어린이공원,37.521729,126.875875,,,지진옥외대피소
홍익어린이공원,37.552239,126.923335,,,지진옥외대피소
윗잔다리 어린이공원,37.557213,126.926245,,,지진옥외대피소
양화어린이공원,37.550458,126.90854,,,지진옥외대피소
합정동보호수 정자마당,37.551282,126.903011,,,지진옥외대피소
성산중학교 운동장,37.547135,126.915787,,,지진옥외대피소
성산초등학교 운동장,37.552943,126.911137,,,지진옥외대피소
양화진역사공원,37.545679,126.911107,,,지진옥외대피소
망원초등학교 운동장,37.560533,126.900983,,,지진옥외대피소
동교초등학교 운동장,37.557698,126.902854,,,지진옥외대피소
아현중학교 운동장,37.556405,126.957183,,,지진옥외대피소
쌍룡산어린이공원,37.552298,126.950782,,,지진옥외대피소
아현녹지쉼터,37.557024,126.962766,,,지진옥외대피소
아현초등학교 운동장,37.555213,126.95693,,,지진옥외대피소
공덕초등학교 운동장,37.545785,126.954124,,,지진옥외대피소
허준근린공원,37.567841,126.85241,,,지진옥외대피소
동양고등학교 운동장,37.568806,126.847797,,,지진옥외대피소
서울탑산초등학교 운동장,37.566687,126.852409,,,지진옥외대피소
영등포공업고등학교 운동장,37.569368,126.850288,,,지진옥외대피소
성재중학교 운동장,37.569277,126.846054,,,지진옥외대피소
경서중학교 운동장,37.560885,126.858848,,,지진옥외대피소
세현고등학교 운동장,37.560023,126.864087,,,지진옥외대피소
양천초등학교운동장,37.569898,126.839778,,,지진옥외대피소
가양초등학교운동장,37.561585,126.859337,,,지진옥외대피소
서울시교육청학생교육원(구.공진중학교),37.566241,126.850744,,,지진옥외대피소
백합공원,37.551182,126.869375,,,지진옥외대피소
서울등원초등학교 운동장,37.56032,126.849686,,,지진옥외대피소
서울등양초등학교 운동장,37.564685,126.844667,,,지진옥외대피소
서울등명초등학교 운동장,37.560431,126.842058,,,지진옥외대피소
등원중학교 운동장,37.559328,126.851308,,,지진옥외대피소
등마초등학교 운동장,37.541965,126.862063,,,지진옥외대피소
서낭당근린공원,37.558535,126.849963,,,지진옥외대피소
등마루공원,37.556031,126.857348,,,지진옥외대피소
원당근린공원,37.559757,126.842062,,,지진옥외대피소
신화중학교 운동장,37.540505,126.83008,,,지진옥외대피소
창의어린이놀이터(목동근린공원),37.546561,126.878695,,,지진옥외대피소
모세미어린이공원,37.535248,126.868671,,,지진옥외대피소
목마공원,37.538171,126.885531,,,지진옥외대피소
목4동 소공원,37.53266,126.868855,,,지진옥외대피소
강서초등학교 운동장,37.522187,126.840444,,,지진옥외대피소
영등포여자고등학교 운동장,37.515079,126.915081,,,지진옥외대피소
메낙골근린공원,37.506866,126.915257,,,지진옥외대피소
신길근린공원,37.501618,126.905977,,,지진옥외대피소
대영중학교 운동장,37.502955,126.905164,,,지진옥외대피소
대영고등학교 운동장,37.503263,126.906091,,,지진옥외대피소
영남중학교 운동장,37.497481,126.895926,,,지진옥외대피소
인헌초등학교 운동장,37.476371,126.960237,,,지진옥외대피소
당곡초등학교 운동장,37.490005,126.929984,,,지진옥외대피소
대림3동 유수지,37.504197,126.895068,,,지진옥외대피소
노량진초등학교 운동장,37.511295,126.940621,,,지진옥외대피소
노량진근린공원(송학대공원),37.508637,126.9438,,,지진옥외대피소
국사봉중학교운동장,37.493777,126.945071,,,지진옥외대피소
상현중학교 운동장,37.493864,126.961116,,,지진옥외대피소
장승중학교 운동장,37.503498,126.940754,,,지진옥외대피소
상도초등학교 운동장,37.499492,126.937398,,,지진옥외대피소
신상도초등학교 운동장,37.499926,126.943785,,,지진옥외대피소
강현중학교운동장,37.5031,126.931425,,,지진옥외대피소
숭실대학교 운동장,37.497274,126.956046,,,지진옥외대피소
강남초등학교 운동장,37.505908,126.952702,,,지진옥외대피소
본동초등학교 운동장,37.510282,126.953744,,,지진옥외대피소
영본초등학교 운동장,37.510688,126.948904,,,지진옥외대피소
노들나루공원,37.513578,126.954821,,,지진옥외대피소
흑석초등학교 운동장,37.508658,126.965093,,,지진옥외대피소
