정비구역명칭,위도,경도,속성,지번주소
성수전략정비구역 제1지구,37.5399040792,127.0491668948,재개발(주택정비형),서울특별시 성동구 성수동1가 72-10
성수전략정비구역 제2지구 주택재개발정비구역,37.5377619313,127.0527627585,재개발(주택정비형),서울특별시 성동구 성수동2가 506
금호제13구역주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 성동구 금호동2가 200-0
금호제14주택재개발구역,37.5468826236,127.0240727268,재개발(주택정비형),서울특별시 성동구 금호동4가 235
왕십리뉴타운제1구역 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 성동구 하왕십리동 339-67
성수전략정비구역 제3지구,37.5369435185,127.0570977995,재개발(주택정비형),서울특별시 성동구 성수동2가 572-7
성수전략정비구역 제4지구,37.5362550938,127.0583276061,재개발(주택정비형),서울특별시 성동구 성수동2가 219-4
하왕 제1-5구역주택재개발 정비사업,,,재개발(주택정비형),서울특별시 성동구 하왕십리동 999외 323
금호제20구역 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 성동구 금호동4가 56-1
옥수제12구역 주택재개발정비사업 구역,,,재개발(주택정비형),서울특별시 성동구 옥수동 500
행당제7구역주택재개발사업,,,재개발(주택정비형),서울특별시 성동구 행당1동 128
금호제14-1구역 주택재개발정비사업조합,37.5470877817,127.0227047929,재개발(주택정비형),서울특별시 성동구 금호동4가 480
옥수 제13주택재개발구역,,,재개발(주택정비형),서울특별시 성동구 옥수동 526-0
성동구금호제17주택재개발구역정비사업,,,재개발(주택정비형),서울특별시 성동구 금호동2가 566
금호제19구역 주택재개발정비구역,,,재개발(주택정비형),서울특별시 성동구 금호동2가 980
용답동 주택재개발정비사업조합,37.5675224033,127.0503597448,재개발(주택정비형),서울특별시 성동구 용답동 108-1
,37.4945123353,127.1442622438,지역주택,서울특별시 송파구 거여동 173-3
금호제18주택재개발구역,,,재개발(주택정비형),서울특별시 성동구 금호동3가 632-0
왕십리뉴타운제3구역 주택재개발사업,,,재개발(주택정비형),서울특별시 성동구 하왕십리동 700
왕십리뉴타운 제2구역 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 성동구 상왕십리동 12-37
장안평 중고차매매센터 재개발정비구역,,,재개발(도시정비형),서울특별시 성동구 용답동 234-0
자양7구역 주택재건축정비사업,,,재건축,서울특별시 광진구 자양3동 464-40
자양1구역 주택재건축정비사업,,,재건축,서울특별시 광진구 자양4동 236
구의맨션재건축정비사업조합,,,재건축,서울특별시 광진구 구의동 227-3
구의1 주택재건축 정비구역,,,재건축,서울특별시 광진구 구의동 122-2
대영연립 주택재건축 정비사업,,,재건축,서울특별시 광진구 자양동 224-15
자양아파트주택재건축정비구역,37.5324750723,127.0843656641,재건축,서울특별시 광진구 자양동 658-14
중곡아파트 주택재건축정비사업,37.5667790083,127.0784144107,재건축,서울특별시 광진구 중곡동 190-26
중앙연립 주택재건축정비사업,,,재건축,서울특별시 광진구 화양동 35-4
모진연립 주택재건축정비사업,37.5458165898,127.0745117813,재건축,서울특별시 광진구 화양동   499-18
자양4재정비촉진구역도시환경정비사업조합,,,재개발(도시정비형),서울특별시 광진구 자양동778-6
뉴장안연립주택재건축,,,재건축,서울특별시 동대문구 장안동 435-4
장안동연립단지주택재건축정비사업조합,,,재건축,서울특별시 동대문구 장안동 291-1
435대명연립 주택재건축정비사업,,,재건축,서울특별시 동대문구 장안동 435-2
대농?신안 주택재건축정비사업조합,,,재건축,서울특별시 동대문구 답십리동 465
동대문구 장안동 425-1번지 일대 제1종지구단위계획구역(대성연립연합),,,재건축,서울특별시 동대문구 장안동 425-1
장안시영2단지2ㅏ주택재건축,37.5763379008,127.0745726351,재건축,서울특별시 동대문구 장안동 329-2
제기1주택재건축정비사업,37.5790033600,127.0353934358,재건축,서울특별시 동대문구 제기동 892-68
장안동 현대아파트 재건축정비사업,37.5808262705,127.0685130379,재건축,서울특별시 동대문구 장안동 95-1
청량리제6주택재개발정비구역,37.5895837930,127.0435376259,재개발(주택정비형),서울특별시 동대문구 청량리동 205
용두제1구역 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 동대문구 용두동 80-1
용두5구역 재개발정비구역,,,재개발(주택정비형),서울특별시 동대문구 용두동 253 
답십리제14주택재개발구역,,,재개발(주택정비형),서울특별시 동대문구 답십리동 25-0
신설제1구역 공공재개발 정비사업 주민대표회의,37.5761611881,127.0271799955,재개발(주택정비형),서울특별시 동대문구 신설동 92-5
회기제1구역주택재개발조합,,,재개발(주택정비형),서울특별시 동대문구 회기동 62-34
용두제6구역 주택재개발정비사업조합,37.5800042453,127.0285094650,재개발(주택정비형),서울특별시 동대문구 용두동 753-9
제기제4구역 주택재개발정비사업,37.5852716266,127.0425922308,재개발(주택정비형),서울특별시 동대문구 제기동 288
제기제6주택재개발 정비구역,37.5873609099,127.0392992373,재개발(주택정비형),서울특별시 동대문구 제기동 120-104
청량리 제7구역 주택재개발 정비사업,,,재개발(주택정비형),서울특별시 동대문구 청량리동 199-0
전농 제11주택재개발정비구역,,,재개발(주택정비형),서울특별시 동대문구 전농동 518-0
휘경2재정비촉진구역,,,재개발(주택정비형),서울특별시 동대문구 휘경동 128-12 
이문3(3-1)재정비촉진구역,37.5985242586,127.0635608079,재개발(주택정비형),서울특별시 동대문구 이문동 149-8
이문1재정비촉진구역,37.6000726285,127.0602646633,재개발(주택정비형),서울특별시 동대문구 이문동 257-42
이문4재정비촉진구역,37.5967758722,127.0665278,재개발(주택정비형),서울특별시 동대문구 이문동 86-1
휘경3재정비촉진구역 주택재개발정비사업조합,37.5930030404,127.0626119985,재개발(주택정비형),서울특별시 동대문구 휘경동 172
전농8구역추진위원회,,,재개발(주택정비형),서울특별시 동대문구 전농동 204
답십리제16주택재개발정비구역,,,재개발(주택정비형),서울특별시 동대문구 답십리동 178
답십리18구역주택재개발 정비사업,,,재개발(주택정비형),서울특별시 동대문구 답십리동 98-0
전농제7구역주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 동대문구 전농동 449-9
청량리제8구역 주택재개발정비사업조합,37.5854353415,127.0445330064,재개발(주택정비형),서울특별시 동대문구 청량리동 435
전농12주택재개발정비구역,,,재개발(주택정비형),서울특별시 동대문구 전농동 643
휘경1재정비촉진구역 주택재개발정비사업조합,37.5916037201,127.0629316013,재개발(주택정비형),서울특별시 동대문구 휘경동   243
전농제9구역주택재개발정비사업조합설립 추진위원회,37.5848909856,127.0521726266,재개발(주택정비형),서울특별시 동대문구 전농동 103-87
답십리자동차부품상가 도시정비형 재개발정비사업,,,재개발(주택정비형),서울특별시 동대문구 답십리동 952-0
용두1도시환경정비구역 제5지구,37.5783101412,127.0401607471,재개발(주택정비형),서울특별시 동대문구 용두동 23-1
전농 재정비촉진구역,,,재개발(도시정비형),서울특별시 동대문구 전농동 494
용두제6 도시환경정비사업구역,37.5770578133,127.0372481885,재개발(도시정비형),서울특별시 동대문구 용두동 53-1
용두제7 도시환경정비사업구역,37.5770756308,127.0367438643,재개발(도시정비형),서울특별시 동대문구 용두동 53-6
,37.5784722313,127.0404212130,재개발(도시정비형),서울특별시 동대문구 용두동 14-1
,,,가로주택정비,서울특별시 동대문구 장안동 326
면목6구역주택재건축정비사업조합,,,재건축,서울특별시 중랑구 면목4동 1405
면목제15구역 주택재건축정비사업조합설립추진위원회,37.5847210175,127.0795385706,재건축,서울특별시 중랑구 면목동 172-1
면목5 주택재건축 정비구역,37.5819476796,127.0785832687,재건축,서울특별시 중랑구 면목동 171-7
면목3주택재건축구역,37.5818929536,127.0803759446,재건축,서울특별시 중랑구 면목동 164-10
면목4주택재건축정비사업,37.5860479140,127.0960867022,재건축,서울특별시 중랑구 면목동   55-14
묵1주택재건축정비사업조합,,,재건축,서울특별시 중랑구 묵동 81-17
망우1구역 주택재건축정비사업조합,37.6029136479,127.1062270644,재건축,서울특별시 중랑구 망우동 178-1
중화동 324번지 일대주택재건축사업,,,재건축,서울특별시 중랑구 중화동 324-0
길동한전우성아파트 소규모주택정비사업,,,소규모재건축,서울특별시 강동구 길동 332-0
면목1 주택재건축정비구역,37.5800711747,127.0934306763,재건축,서울특별시 중랑구 면목동 520-19
중화동131-35일대 재건축정비구역,37.6008129707,127.0857560388,재건축,서울특별시 중랑구 중화동 131-35
,,,재건축,서울특별시 중랑구 면목동 134-40
중화1재정비촉진구역,37.6030190092,127.0756641064,재개발(주택정비형),서울특별시 중랑구 중화동 331-1
중화2재정비촉진구역 주택재개발정비사업,37.6002431556,127.0757926549,재개발(주택정비형),서울특별시 중랑구 중화동 329-38
상봉7재정비촉진구역,37.5958568718,127.0903698653,재개발(도시정비형),서울특별시 중랑구 상봉동 88
상봉6재정비촉진구역,,,재개발(도시정비형),서울특별시 중랑구 상봉2동 107-1 
면목우성주택외3필지 가로주택정비사업구역,,,가로주택정비,서울특별시 중랑구 면목동 173-2
세광하니타운가로주택정비사업조합,37.5964061437,127.0790315964,가로주택정비,서울특별시 중랑구 중화동 296-44
,37.5849589487,127.0774016077,가로주택정비,서울특별시 중랑구 면목동 174-74
,,,가로주택정비,서울특별시 중화동 329-38
,,,가로주택정비,서울특별시 중화동 329-30
,,,가로주택정비,서울특별시 중화동 317-45
성오빌라주택재건축정비사업,37.6015622832,127.0083111433,재건축,서울특별시 성북구 정릉동 506-159
안암1구역 주택재건축정비사업,37.5822774263,127.0246217720,재건축,서울특별시 성북구 안암동3가 136-1
길음3재정비촉진구역,,,재건축,서울특별시 성북구 정릉동 192
돈암정릉구역 주택재개발 정비사업,,,재개발(주택정비형),서울특별시 성북구 돈암동 535
정릉제10구역주택재개발정비사업,,,재개발(주택정비형),서울특별시 성북구 정릉동 539-1 
정릉제8구역주택재개발정비사업조합설립추진위원회,37.6081268219,126.9986869432,재개발(주택정비형),서울특별시 성북구 정릉동 895
정릉3구역주택재개발정비사업조합추진위원회,37.6055944582,127.0017995599,재개발(주택정비형),서울특별시 성북구 정릉동   640-17
돈암제5구역주택배개발정비사업조합,,,재개발(주택정비형),서울특별시 성북구 돈암동 13-7 
성북3구역주택재개발정비사업조합,37.5943212175,127.0007508427,재개발(주택정비형),서울특별시 성북구 성북동 3-38
안암제2구역주택재개발정비사업조합,37.5858544921,127.0240268501,재개발(주택정비형),서울특별시 성북구 안암동3가 132-17
보문제3구역주택재개발정비사업조합`,,,재개발(주택정비형),서울특별시 성북구 보문동 6가 207
성북제1구역주택재개발정비사업조합설립추지위원회,,,재개발(주택정비형),서울특별시 성북구 성북1동 179-68
석관제2구역 주택재개발정비구역,,,재개발(주택정비형),서울특별시 성북구 석관동 58-56
석관 제 3구역,,,재개발(주택정비형),서울특별시 성북구 석관동338-540
보문제2구역 주택재개발정비사업 ,,,재개발(주택정비형),서울특별시 성북구 26길 13-9(보문동1가)
보문제5구역 주택재개발정비사업,37.5848422430,127.0205420052,재개발(주택정비형),서울특별시 성북구 보문동1가   196-11
삼선제5주택재개발정비사업,37.5841281164,127.0102604956,재개발(주택정비형),서울특별시 성북구 삼선동2가 296
동소문제2구역 주택재개발정비사업,37.5883689613,127.0071126805,재개발(주택정비형),서울특별시 성북구 동소문동2가 33
종암제6 주택재개발정비구역,,,재개발(주택정비형),서울특별시 성북구 종암동 95-2
동선2구역주택재개발정비사업,,,재개발(주택정비형),서울특별시 성북구 동선동 304-2
정릉길음제9구역,,,재개발(주택정비형),서울특별시 성북구 정릉동 10
길음역세권재정비촉진구역 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 성북구 길음동 542-1
길음제8구역,,,재개발(주택정비형),서울특별시 성북구 길음동 612-10
길음1재정비촉진구역,37.6090473906,127.0271596922,재개발(주택정비형),서울특별시 성북구 길음동   508-16
장위1구역 주택재개발정비사업,37.6179215325,127.0522533512,재개발(주택정비형),서울특별시 성북구 장위동 144-24
장위7구역주택재개발정비사업,37.6198290722,127.0496133229,재개발(주택정비형),서울특별시 성북구 장위동   189-3
장위14구역 주택재개발정비사업조합,37.6127073930,127.0434371635,재개발(주택정비형),서울특별시 성북구 장위동 233-552
장위제2구역주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 성북구 장위동 290-9 
장위4구역 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 성북구 장위동 62-1
장위5구역주택재개발정비사업조합,37.6212857858,127.0517190179,재개발(주택정비형),서울특별시 성북구 장위동 173-114
장위3구역주택재개발정비사업조합,37.6218312499,127.0480821707,재개발(주택정비형),서울특별시 성북구 장위동 305
보문제4구역 주택재개발 정비구역,,,재개발(주택정비형),서울특별시 성북구 보문동3가 225 
장위제6구역주택재개발정비사업조합설립추진위원회,37.6158054272,127.0588552059,재개발(주택정비형),서울특별시 성북구 장위동 25-55
길음2재정비촉진구역,,,재개발(주택정비형),서울특별시 성북구 길음동 498
장위10구역주택재개발정비사업,37.6122920112,127.0530199245,재개발(주택정비형),서울특별시 성북구 장위동   68-37
장위15구역 주택재개발정비사업,37.6121445555,127.0482798001,재개발(주택정비형),서울특별시 성북구 장위동 233-42
길음5재정비촉진구역,37.6043043948,127.0158630071,재개발(주택정비형),서울특별시 성북구 정릉동 175
성북제2구역주택재개발정비사업,,,재개발(주택정비형),서울특별시 성북동 226-103
정릉3동 주택재개발 ,37.6141327010,127.0027316586,재개발(주택정비형),서울특별시 성북구 정릉동 757
돈암제6 주택재개발정비구역,37.5992982501,127.0208851460,재개발(주택정비형),서울특별시 성북구 돈암동 48-29
신월곡 제1구역 도시환경정비사업,,,재개발(도시정비형),서울특별시 성북구 하월곡동 88 
신길음1구역 재개발정비사업,37.6119695507,127.0298768064,재개발(도시정비형),서울특별시 성북구 길음동 31-1
장위11-2구역 가로주택정비사업,37.6097232455,127.0508355449,가로주택정비,서울특별시 성북구 장위동 68-833
석관1-3구역 가로주택정비사업,37.6071960327,127.0586633683,가로주택정비,서울특별시 성북구 석관동 261-98
장위13의9구역 가로주택정비사업,37.6144540281,127.0474698791,가로주택정비,서울특별시 성북구 장위동 232-125
장위11-1구역 가로주택정비사업,37.6099339851,127.0497828619,가로주택정비,서울특별시 성북구 장위동 68-435
,37.6112645556,127.0498070799,가로주택정비,서울특별시 성북구 장위동 68-274
장위13의6구역 가로주택정비사업,37.6151703810,127.0473028173,가로주택정비,서울특별시 성북구 장위동 232-41
종암동 개운산마을 가로주택정비사업,37.6015253024,127.0283133848,가로주택정비,서울특별시 성북구 종암동 81-188
,37.6096991806,127.0135351664,가로주택정비,서울특별시 성북구 정릉동 218-1
,37.6007583639,127.0396345718,가로주택정비,서울특별시 성북구 종암동 112-37
장위11-3구역 가로주택정비사업,37.6102834921,127.0544454074,가로주택정비,서울특별시 성북구 장위동 65-107
장위13-4구역 가로주택정비사업,37.6184397525,127.0455839962,가로주택정비,서울특별시 성북구 장위동 219-133
미아9-1구역 주택재건축정비사업,,,재건축,서울특별시 강북구 미아동 3-770 
미아4-1구역주택재건축정비사업,37.6155233002,127.0389110595,재건축,서울특별시 강북구 미아동 8-373
미아4재정비촉진구역,,,재건축,서울특별시 강북구 미아동 1261
,,,재건축,서울특별시 강북구 수유동 170-2
,37.6457208755,127.0136982948,재건축,서울특별시 강북구 수유동 291-224
수유1-1구역주택재건축 조합설립추진위원회,,,재건축,서울특별시 강북구 수유동472-81
미아9-2주택재건축정비구역,37.6192663359,127.0304237619,재건축,서울특별시 강북구 미아동 137-72
미아동3-111번지일대 주택재건축정비구역,37.6207705020,127.0330195667,재건축,서울특별시 강북구 미아동   3-111
,37.6296106308,127.0200140751,재개발(주택정비형),서울특별시 강북구 미아동 791-108
미아10-1 주택재개발정비사업,,,재개발(주택정비형),서울특별시 강북구 미아동 476-0
미아제16구역주택재개발정비사업조합설립추진위원회,,,재개발(주택정비형),서울특별시 강북구 송중동 6749
미아 제3구역 주택재개발,37.6274469642,127.0185922535,재개발(주택정비형),서울특별시 강북구 미아동 791-364
미아2재정비촉진구역,,,재개발(주택정비형),서울특별시 강북구 미아동 403
미아3재정비촉진구역 주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 강북구 미아동 439 
강북3 도시환경정비구역,37.6111269612,127.0322156934,재개발(도시정비형),서울특별시 강북구 미아동 45-32
강북5구역 도시환경정비사업,37.6144839388,127.0295239795,재개발(도시정비형),서울특별시 강북구 미아동 61-79
미아균형발전촉진지구 강북2구역 도시환경정비구역,37.6108854770,127.0309401986,재개발(도시정비형),서울특별시 강북구 미아동 42-8
강북5구역,37.6144839388,127.0295239795,재개발(도시정비형),서울특별시 강북구 미아동 61-79
번동 429-114 일원 가로주택정비사업조합,37.6363001477,127.0369440856,가로주택정비,서울특별시 강북구 번동 429-114
번동2구역 가로주택정비사업,37.6358357880,127.0366291217,가로주택정비,서울특별시 강북구 번동 429-97
번동 3구역 가로주택정비사업,37.6354001084,127.0356259116,가로주택정비,서울특별시 강북구 번동 430-27
번동 5구역 가로주택정비사업,37.6351687507,127.0367509254,가로주택정비,서울특별시 강북구 번동 427-35
번동 4구역 가로주택정비사업,37.6346506617,127.0373957626,가로주택정비,서울특별시 강북구 번동 428-4
미아1구역 가로주택정비사업,37.6256519274,127.0167962096,가로주택정비,서울특별시 강북구 미아동 833-2
성삼연립 주택재건축정비사업,37.6671208350,127.0359212513,재건축,서울특별시 도봉구 방학동 636
프린스연립 주택재건축 정비사업,,,재건축,서울특별시 도봉구 쌍문동 503-29
도봉제2주택재개발구역,,,재개발(주택정비형),서울특별시 도봉구 도봉동 95
쌍문제1구역재개발정비사업조합,,,재개발(주택정비형),서울특별시 도봉구 쌍문동 414
도봉동 625-80번지 일대 가로주택정비사업,37.6752893146,127.0457626003,가로주택정비,서울특별시 도봉구 도봉동 625-80
방학성삼빌라가로주택정비사업,,,가로주택정비,서울특별시 도봉구 방학동 343-0
신창연립가로주택정비사업,37.6397161882,127.0384908636,가로주택정비,서울특별시 도봉구 창동 581-3
태릉현대아파트 주택재건축정비구역,,,재건축,서울특별시 노원구 공릉로 34길 74
월계2(인덕마을) 주택재건축정비구역,,,재건축,서울특별시 노원구 월계2동 633-31
월계동 재건축정비구역,37.6158461033,127.0624554736,재건축,서울특별시 노원구 월계동 487-17
상계8단지재건축정비사업 조합설립추진위원회,,,재건축,서울특별시 노원구 상계10동 677
월계3 주택재건축정비구역,,,재건축,서울특별시 노원구 월계1동 531
월계동 동신아파트 주택재건축정비구역,37.6161515398,127.0607263947,재건축,서울특별시 노원구 월계동 436
