명칭,지번주소,도로명주소,GRS80TM_X,GRS80TM_Y,latitude,longitude,Station_ID,Station_line,Area,구분(보류),주소(혼재)
아시아근린공원,,,206765.916,445654.014,37.5102779,127.0762885,,,66027.8㎡,공원,서울특별시 송파구 올림픽로 44 (잠실동)
배봉산근린공원,,,205798.8,453616.894,37.5812324,127.0641623,,,265582㎡,공원,서울특별시 동대문구 한천로43길 12-14(배봉산공원) 
안산도시자연공원,,,194575.097,453339.773,37.5798246,126.9390273,,,2088704.9㎡,공원,서울특별시 서대문구 홍제동 산33-98
염창근린공원,,,188333.589,451001.141,37.5579702,126.8689817,,,112070㎡,공원,서울특별시 강서구 염창동 산24-1
백련근린공원,,,193717.226,454793.495,37.5879662,126.928616,,,993724㎡,공원,서울특별시 서대문구 통일로 507-22(백련공원) 
오금근린공원,,,211638.552,444566.65,37.5038715,127.1323957,,,219167㎡ 곰두리체육센터 : 7370㎡(지하2층 지상3층) 송파도서관 : 8259㎡(지하1층 지상4층) ,공원,서울특별시 송파구 오금로 363 오금근린공원 
오동근린공원,,,202722.755,459142.96,37.6327957,127.0317269,,,1349556.4㎡ ,공원,서울특별시 강북구 번동 산20-1
봉산도시자연공원,,,192210.059,456538.055,37.604071,126.9020153,,,1511198㎡,공원,서울특별시 은평구 구산동 산61
온수도시자연공원,,,185881.953,444742.911,37.5002598,126.83695,,,1097565㎡,공원,서울특별시 구로구 개봉동 산2-60
봉은공원,,,205055.257,446107.569,37.5139026,127.0554961,,,328018㎡,공원,서울특별시 강남구 삼성동 75
올림픽공원,,,210704.492,446848.357,37.520934,127.122959,,,총 1447122㎡,공원,서울특별시 송파구 올림픽로 424 (방이동)
와룡근린공원,,,199375.724,454648.216,37.5907944,126.9901672,,,207790㎡ ,공원,서울특별시 종로구 와룡공원길 192 (우) 03063
봉화산근린공원,,,207704.38,456624.859,37.6106404,127.0923625,,,1018689㎡,공원,서울특별시 중랑구 묵동 산46-1
북악산도시자연공원,,,197674.654,454875.702,37.5929992,126.9737295,,,954553㎡,공원,서울특별시 종로구 부암동 산2-6
북한산국립공원,,,197794.632,459148.384,37.624549,127.000938,,,1667848㎡,공원,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대
외국인묘지공원,,,192167.931,449671.831,37.546797,126.911414,,,13224㎡,공원,서울특별시 마포구 양화진길 46(외국인묘지공원)
불광근린공원,,,193822.483,457501.131,37.6188016,126.9298962,,,130345㎡,공원,서울특별시 은평구 불광동 산33-1
불암산도시자연공원,,,208214.172,462688.18,37.6636719,127.0952714,,,5332422㎡,공원,서울특별시 노원구 한글비석로12길 51-33(불암산공원) 
용마폭포공원,,,207876.919,452652.907,37.5731968,127.0905888,,,5107964㎡,공원,서울특별시 중랑구 면목동 산1-4 
사육신공원,,,195483.866,446027.256,37.5137049,126.948636,,,47832㎡,공원,서울특별시 동작구 노량진로 191
용왕산근린공원,,,189177.756,449262.403,37.5429593,126.8783125,,,213552㎡,공원,서울특별시 양천구 목동 199-51
사직근린공원,,,197219.855,452943.808,37.5759864,126.9674018,,,168099.87㎡,공원,서울특별시 종로구 사직로9길 5
우장산근린공원,,,186055.82,450217.146,37.5541932,126.844932,,,359435.2㎡,공원,서울특별시 강서구 내발산동 산4-5
삼일근린공원,,,197729.062,442960.391,37.4860183,126.9743686,,,36660㎡,공원,서울특별시 동작구 사당동 산24-17
삼청근린공원,,,198430.819,454679.963,37.5895821,126.9842875,,,380735㎡ ,공원,서울특별시 종로구 북촌로 134-1 (우) 03050
인왕산도시자연공원,,,196822.477,453849.5,37.5849001,126.9578438,,,1807420.9㎡,공원,서울특별시 종로구 옥인동 산 3-1 
상도근린공원,,,194702.393,443757.499,37.492299,126.9385469,,,359342.8㎡,공원,서울특별시 동작구 성대로6사길 27-6(상도공원) 
일자산도시자연공원,,,214150.546,448674.699,37.5431657,127.1574587,,,632733㎡,공원,서울특별시 강동구 동남로 660(일자산공원)
쌍문근린공원,,,202427.91,461529.336,37.6531456,127.0271316,,,328018㎡,공원,서울특별시 도봉구 쌍문동 산80
수락산도시자연공원,,,206783.262,464439.897,37.699232,127.0813633,,,6691885.3㎡,공원,서울특별시 노원구 상계동 산3-1
송파나루근린공원(석촌호수),,,208879.033,445489.931,37.5069328,127.0983002,,,285757㎡,공원,서울특별시 송파구 잠실로 148 (잠실동) 
선유도근린공원,,,191237.537,449355.317,37.543418,126.90014,,,110407㎡,공원,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소
손기정체육공원,,,196883.067,450696.94,37.5560189,126.9652702,,,29682.2㎡,공원,서울특별시 중구 손기정로 101 
성북근린공원,,,200606.113,455184.289,37.5948509,127.0078625,,,137759㎡,공원,서울특별시 성북구 돈암동 616-1055
봉제산공원,,,187196.604,449298.032,37.5421979,126.8517836,,,917190㎡,공원,서울특별시 강서구 화곡동 산41-6
서울창포원,,,204168.804,465548.074,37.689585,127.047938,,,51470㎡,공원,서울특별시 도봉구 마들로 916(서울창포원) 
북서울꿈의숲,,,203906.355,457859.796,37.6233355,127.0407344,,,662543㎡,공원,서울특별시 강북구 월계로 173
서서울호수공원,,,185015.996,447561.645,37.5278392,126.8304789,,,217946㎡,공원,서울특별시 양천구 남부순환로64길 20 (신월동)
중랑캠핑숲,,,209617.529,456301.471,37.6049896,127.1093075,,,179666㎥,공원,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲)
솔밭근린공원,,,201038.122,461453.329,37.652331,127.0116241,,,34955㎡,공원,서울특별시 강북구 우이동 80번지 일대
금천체육공원(관악산),,,191893.277,440957.771,37.468164,126.908681,,,18083㎡,공원,서울특별시 금천구 독산동 산118-4(금천체육공원)
금천폭포근린공원,,,191527.957,438576.169,37.4468663,126.9040127,,,4835㎡,공원,서울특별시 금천구 시흥대로38길 61(시흥동 937-2)
만수천공원(관악산),,,192002.97,441678.841,37.4734274,126.9090028,,,19650 ㎡,공원,서울특별시 금천구 독산동 산8 일대
발바닥공원,,,202607.063,462217.976,37.6597135,127.031982,,,7000㎡,공원,서울특별시 도봉구 시루봉로6길 33
월천근린공원,,,204487.705,204487.705,37.6473889,127.0509895,,,10712㎡,공원,서울특별시 도봉구 창동 28번지
용두근린공원,,,203459.991,452629.847,37.5732791,127.0390042,,,17182㎡,공원,서울특별시 동대문구 용두동 34-1번지 일대
상암근린공원,,,189914.616,453044.909,37.5760106,126.8859012,,,160349.3㎡,공원,서울특별시 마포구 상암동 1761
와우근린공원,,,193826.626,450327.299,37.5517298,126.9289936,,,87432.4㎡,공원,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산)
금호근린공원,,,201676.873,449998.94,37.5494726,127.0189457,,,13467㎡   ,공원,서울특별시 성동구 장터1길 18
달맞이근린공원,,,201846.361,449360.929,37.543564,127.0212054,,,46871㎡,공원,서울특별시 성동구 옥수동 산1-1
문정근린공원,,,211543.221,443164.673,37.4862156,127.1275819,,,49972㎡,공원,서울특별시 송파구 문정동 18-4
문화예술공원,,,202696.912,440809.136,37.467654,127.030517,,,74385㎡,공원,서울특별시 서초구 바우뫼로12길 40 (양재동)
세종로공원,,,197874.256,452668.898,37.5735,126.9758875,,,8868㎡ ,공원,서울특별시 종로구 세종대로 189 (우) 03172
샘말공원(관악산),,,194554.259,440529.444,37.4642128,126.938511,,,10634㎡ ,공원,서울특별시 관악구 대학동 산63-1일대 샘말공원
초안산생태공원,,,203623.347,461020.286,37.6479483,127.0405382,,,22113㎡,공원,서울특별시 도봉구 창동 산24
푸른수목원,,,184391.452,442585.279,37.483029,126.82407,,,,공원,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소
서오능도시자연공원,,,192105.2416,459771.1303,37.6374823,126.9134338,,,1082847㎡,공원,서울특별시 은평구 구파발동 갈현동 진관내동
청계산도시자연공원,,,204784.3515,438131.8878,37.4224347,127.0424726,,,3692455㎡   ,공원,서울특별시 서초구 원지동 산 33
개화근린공원,,,182939.2547,453560.1285,37.5813917,126.8068278,,,386500㎡,공원,서울특별시 강서구 개화동 산17
아차산생태공원,,,208869.3493,450460.3592,37.5517142,127.1010031,,,23450㎡,공원,서울특별시 광진구 광장동 370
인능산도시자연공원,,,205898.0861,438764.8767,37.4482109,127.0666632,,,2400833㎡,공원,서울특별시 서초구 내곡동 산12-404
구룡산,,,204754,440798,37.4689473,127.061567,,,2752421㎡,공원,서울특별시 서초구 염곡동 산25-1
우면산도시자연공원,,,200745.6,441329.6,37.470484,127.0091324,,,4180551㎡,공원,서울특별시 서초구 우면동 산35-1
향림근린공원,,,193339.2,458878.4,37.6293824,126.9240693,,,147859㎡,공원,서울특별시 은평구 진관동 산55
신사근린공원,,,192065.2,454756.8,37.5920771,126.9102948,,,111650㎡,공원,서울특별시 은평구 신사동 산80-4
문화역 서울284,,,197240.8524,450833.9113,37.5558722,126.9715923,,,,공원,서울특별시 중구 통일로 1 서울역
광평근린공원,,,,,37.4880445,127.092184,,,519782㎡ ,공원,서울특별시 강남구 수서동 산10-1
청담근린공원,,,,,37.5213259,127.052453,,,59347㎡ ,공원,서울특별시 강남구 청담동 66
허브천문공원,,,,,37.5372715,127.1533951,,,25500㎡ ,공원,서울특별시 강동구 둔촌동 산94
연신내물빛공원,,,,,37.619052,126.9207354,,,2560㎡ ,공원,서울특별시 은평구 통일로 849
나들이근린공원,,,,,37.6054218,127.113261,,,32000㎡ ,공원,서울특별시 중구 망우동 산 30-7 일대
숭인근린공원,,,,,37.5764419,127.0178267,,,45615㎡ ,공원,서울특별시 종로구 숭인동 58
서일대뒷산공원,,,,,37.5877155,127.0987817,,,631021㎡ ,공원,서울특별시 중랑구 면목동 산19
용마도시자연공원(사가정공원),,,,,37.5797622,127.095997,,,109635㎡ ,공원,서울특별시 중랑구 면목7동 산50 
문화비축기지,,,114264.4604,3712093.405,37.57171848,126.8932455,,,140022㎡,공원,서울특별시 마포구 증산로 87
경춘선숲길,,,127.076482,37.627077,37.627077,127.076482,,,211392㎡,공원,노원구 공릉2동 산 82-2
율현공원,,,,,37.472332,127.115594,,,157535㎡,공원,서울특별시 강남구 율현동 밤고개로24길(율현동 56)
미사,,,,,37.560927,127.193877,9996,5호선,,지하철,
강일,,,,,37.55749,127.17593,9995,5호선,,지하철,
김포공항,,,,,37.56236,126.801868,4929,김포골드라인,,지하철,
고촌,,,,,37.601243,126.770345,4928,김포골드라인,,지하철,
풍무,,,,,37.612488,126.732387,4927,김포골드라인,,지하철,
사우(김포시청),,,,,37.620249,126.719731,4926,김포골드라인,,지하철,
걸포북변,,,,,37.63165,126.705975,4925,김포골드라인,,지하철,
운양,,,,,37.653867,126.68393,4924,김포골드라인,,지하철,
장기,,,,,37.643986,126.669017,4923,김포골드라인,,지하철,
마산,,,,,37.640732,126.644344,4922,김포골드라인,,지하철,
구래,,,,,37.645384,126.628633,4921,김포골드라인,,지하철,
양촌,,,,,37.642379,126.614309,4920,김포골드라인,,지하철,
원시,,,,,37.302371,126.786691,4815,서해선,,지하철,
원곡,,,,,37.31321,126.796261,4814,서해선,,지하철,
초지,,,,,37.319619,126.808147,4813,서해선,,지하철,
선부,,,,,37.334353,126.809904,4812,서해선,,지하철,
달미,,,,,37.348847,126.809409,4811,서해선,,지하철,
시흥능곡,,,,,37.369864,126.808573,4810,서해선,,지하철,
시흥시청,,,,,37.382223,126.805625,4809,서해선,,지하철,
신현,,,,,37.409008,126.788017,4808,서해선,,지하철,
신천,,,,,37.439066,126.786788,4807,서해선,,지하철,
시흥대야,,,,,37.450145,126.793041,4806,서해선,,지하철,
소새울,,,,,37.468467,126.797252,4805,서해선,,지하철,
소사,,,,,37.483279,126.795023,4804,서해선,,지하철,
신설동,,,,,37.576095,127.023242,4713,우이신설선,,지하철,
보문,,,,,37.585286,127.019381,4712,우이신설선,,지하철,
성신여대입구(돈암),,,,,37.592467,127.016516,4711,우이신설선,,지하철,
정릉,,,,,37.603133,127.013396,4710,우이신설선,,지하철,
북한산보국문,,,,,37.612072,127.008251,4709,우이신설선,,지하철,
솔샘,,,,,37.620238,127.013626,4708,우이신설선,,지하철,
삼양사거리,,,,,37.621337,127.020473,4707,우이신설선,,지하철,
삼양,,,,,37.626914,127.018106,4706,우이신설선,,지하철,
화계,,,,,37.634133,127.017511,4705,우이신설선,,지하철,
가오리,,,,,37.641537,127.016789,4704,우이신설선,,지하철,
4.19민주묘지,,,,,37.649502,127.013684,4703,우이신설선,,지하철,
솔밭공원,,,,,37.65603,127.013273,4702,우이신설선,,지하철,
북한산우이,,,,,37.662909,127.012706,4701,우이신설선,,지하철,
탑석,,,,,37.733579,127.088704,4615,의정부선,,지하철,
송산,,,,,37.737279,127.087159,4614,의정부선,,지하철,
어룡,,,,,37.742802,127.085035,4613,의정부선,,지하철,
곤제,,,,,37.750471,127.083715,4612,의정부선,,지하철,
효자,,,,,37.754025,127.076902,4611,의정부선,,지하철,
경기도청북부청사,,,,,37.75059,127.071495,4610,의정부선,,지하철,
새말,,,,,37.748885,127.06362,4609,의정부선,,지하철,
동오,,,,,37.745271,127.056947,4608,의정부선,,지하철,
의정부중앙,,,,,37.743676,127.049565,4607,의정부선,,지하철,
흥선,,,,,37.743302,127.037023,4606,의정부선,,지하철,
의정부시청,,,,,37.739256,127.034781,4605,의정부선,,지하철,
경전철의정부,,,,,37.737202,127.043257,4604,의정부선,,지하철,
범골,,,,,37.728755,127.04353,4603,의정부선,,지하철,
회룡,,,,,37.725006,127.047073,4602,의정부선,,지하철,
발곡,,,,,37.727048,127.052803,4601,의정부선,,지하철,
전대.에버랜드,,,,,37.285342,127.219561,4517,에버라인선,,지하철,
둔전,,,,,37.267051,127.21364,4515,에버라인선,,지하철,
보평,,,,,37.258965,127.218457,4514,에버라인선,,지하철,
고진,,,,,37.24484,127.214251,4513,에버라인선,,지하철,
운동장.송담대,,,,,37.237845,127.209198,4512,에버라인선,,지하철,
김량장,,,,,37.237247,127.198781,4511,에버라인선,,지하철,
명지대,,,,,37.237964,127.190294,4510,에버라인선,,지하철,
시청.용인대,,,,,37.239151,127.178406,4509,에버라인선,,지하철,
삼가,,,,,37.242115,127.168075,4508,에버라인선,,지하철,
초당,,,,,37.260752,127.159443,4506,에버라인선,,지하철,
동백,,,,,37.269043,127.152716,4505,에버라인선,,지하철,
어정,,,,,37.274917,127.143714,4504,에버라인선,,지하철,
지석,,,,,37.269606,127.136515,4503,에버라인선,,지하철,
강남대,,,,,37.270161,127.126033,4502,에버라인선,,지하철,
기흥,,,,,37.275449,127.116665,4501,에버라인선,,지하철,
광교(경기대),,,,,37.30211,127.044483,4319,신분당선(연장),,지하철,
광교중앙(아주대),,,,,37.288617,127.051478,4318,신분당선(연장),,지하철,
상현,,,,,37.297664,127.069342,4317,신분당선(연장),,지하철,
성복,,,,,37.313335,127.0801,4316,신분당선(연장),,지하철,
수지구청,,,,,37.322702,127.095026,4315,신분당선(연장),,지하철,
동천,,,,,37.337928,127.102976,4314,신분당선(연장),,지하철,
미금,,,,,37.349982,127.108918,4313,신분당선(연장),,지하철,
정자,,,,,37.367098,127.108403,4312,신분당선,,지하철,
판교,,,,,37.394761,127.112217,4311,신분당선,,지하철,
청계산입구,,,,,37.447211,127.055664,4310,신분당선,,지하철,
양재시민의숲(매헌),,,,,37.470023,127.03842,4309,신분당선,,지하철,
양재(서초구청),,,,,37.483809,127.034653,4308,신분당선,,지하철,
강남,,,,,37.496837,127.028104,4307,신분당선,,지하철,
영종,,,,,37.51202,126.524254,4217,공항철도1호선,,지하철,
인천공항2터미널,,,,,37.460699,126.441442,4215,공항철도1호선,,지하철,
인천공항1터미널,,,,,37.447464,126.452508,4213,공항철도1호선,,지하철,
공항화물청사,,,,,37.459041,126.477516,4212,공항철도1호선,,지하철,
운서,,,,,37.492904,126.49379,4211,공항철도1호선,,지하철,
청라국제도시,,,,,37.556409,126.624648,4210,공항철도1호선,,지하철,
검암,,,,,37.569098,126.674007,4209,공항철도1호선,,지하철,
계양,,,,,37.571662,126.7363,4208,공항철도1호선,,지하철,
김포공항,,,,,37.561842,126.801904,4207,공항철도1호선,,지하철,
마곡나루,,,,,37.565543,126.827378,4206,공항철도1호선,,지하철,
디지털미디어시티,,,,,37.576958,126.898609,4204,공항철도1호선,,지하철,
홍대입구,,,,,37.557438,126.926715,4203,공항철도1호선,,지하철,
공덕,,,,,37.54253,126.952024,4202,공항철도1호선,,지하철,
서울역,,,,,37.553247,126.969769,4201,공항철도1호선,,지하철,
중앙보훈병원,,,,,37.529191,127.148739,4138,9호선(연장),,지하철,
둔촌오륜,,,,,37.519683,127.137989,4137,9호선(연장),,지하철,
올림픽공원(한국체대),,,,,37.516269,127.130288,4136,9호선(연장),,지하철,
한성백제,,,,,37.516404,127.116503,4135,9호선(연장),,지하철,
송파나루,,,,,37.510372,127.112216,4134,9호선(연장),,지하철,
석촌,,,,,37.505208,127.10704,4133,9호선(연장),,지하철,
석촌고분,,,,,37.502558,127.097033,4132,9호선(연장),,지하철,
삼전,,,,,37.504738,127.088025,4131,9호선(연장),,지하철,
종합운동장,,,,,37.511426,127.076275,4130,9호선(연장),,지하철,
봉은사,,,,,37.514219,127.060245,4129,9호선(연장),,지하철,
삼성중앙,,,,,37.513011,127.053282,4128,9호선(연장),,지하철,
선정릉,,,,,37.510297,127.043999,4127,9호선(연장),,지하철,
언주,,,,,37.507287,127.033868,4126,9호선(연장),,지하철,
신논현,,,,,37.504598,127.02506,4125,9호선,,지하철,
사평,,,,,37.504206,127.015259,4124,9호선,,지하철,
고속터미널,,,,,37.50598,127.004403,4123,9호선,,지하철,
신반포,,,,,37.503415,126.995925,4122,9호선,,지하철,
구반포,,,,,37.501364,126.987332,4121,9호선,,지하철,
동작(현충원),,,,,37.502878,126.978153,4120,9호선,,지하철,
흑석(중앙대입구),,,,,37.50877,126.963708,4119,9호선,,지하철,
노들,,,,,37.512887,126.953222,4118,9호선,,지하철,
노량진,,,,,37.513534,126.941005,4117,9호선,,지하철,
샛강,,,,,37.517274,126.928422,4116,9호선,,지하철,
여의도,,,,,37.52176,126.92403,4115,9호선,,지하철,
국회의사당,,,,,37.528105,126.917874,4114,9호선,,지하철,
당산,,,,,37.533406,126.902809,4113,9호선,,지하철,
선유도,,,,,37.53802,126.893525,4112,9호선,,지하철,
신목동,,,,,37.544277,126.88308,4111,9호선,,지하철,
염창,,,,,37.546936,126.874916,4110,9호선,,지하철,
등촌,,,,,37.550632,126.865689,4109,9호선,,지하철,
증미,,,,,37.557402,126.861939,4108,9호선,,지하철,
가양,,,,,37.561391,126.854456,4107,9호선,,지하철,
양천향교,,,,,37.568381,126.841333,4106,9호선,,지하철,
마곡나루,,,,,37.566778,126.82731,4105,9호선,,지하철,
신방화,,,,,37.567532,126.816601,4104,9호선,,지하철,
공항시장,,,,,37.563726,126.810678,4103,9호선,,지하철,
김포공항,,,,,37.561916,126.802152,4102,9호선,,지하철,
개화,,,,,37.578608,126.798153,4101,9호선,,지하철,
석남(거북시장),,,,,37.5062285,126.6762813,3763,7호선,,지하철,
산곡,,,,,37.5086,126.7035277,3762,7호선,,지하철,
운연(서창),,,,,37.440127,126.75997,3227,인천2호선,,지하철,
인천대공원,,,,,37.448769,126.752618,3226,인천2호선,,지하철,
남동구청,,,,,37.448161,126.736939,3225,인천2호선,,지하철,
만수,,,,,37.454911,126.732094,3224,인천2호선,,지하철,
모래내시장,,,,,37.45583,126.719298,3223,인천2호선,,지하철,
석천사거리,,,,,37.456805,126.709986,3222,인천2호선,,지하철,
인천시청,,,,,37.456833,126.701306,3221,인천2호선,,지하철,
석바위시장,,,,,37.457611,126.692575,3220,인천2호선,,지하철,
